"filename", "language", "Markdown", "JavaScript", "SCSS", "JSON", "Vue", "XML", "CSS", "HTML", "comment", "blank", "total"
"d:\project\project-rjwm-weixin-uniapp\pages\index\food-menu.vue", "Vue", 0, 0, 0, 0, 44, 0, 0, 0, 3, 3, 50
"d:\project\project-rjwm-weixin-uniapp\pages\index\index.js", "JavaScript", 0, 544, 0, 0, 0, 0, 0, 0, 147, 26, 717
"d:\project\project-rjwm-weixin-uniapp\pages\index\index.vue", "Vue", 0, 0, 0, 0, 276, 0, 0, 0, 2, 3, 281
"d:\project\project-rjwm-weixin-uniapp\pages\index\style.scss", "SCSS", 0, 0, 825, 0, 0, 0, 0, 0, 107, 8, 940
"d:\project\project-rjwm-weixin-uniapp\pages\my\my.vue", "Vue", 0, 0, 0, 0, 399, 0, 0, 0, 18, 19, 436
"d:\project\project-rjwm-weixin-uniapp\pages\nonet\index.vue", "Vue", 0, 0, 0, 0, 69, 0, 0, 0, 0, 1, 70
"d:\project\project-rjwm-weixin-uniapp\pages\order\index.js", "JavaScript", 0, 435, 0, 0, 0, 0, 0, 0, 56, 26, 517
"d:\project\project-rjwm-weixin-uniapp\pages\order\index.vue", "Vue", 0, 0, 0, 0, 249, 0, 0, 0, 6, 12, 267
"d:\project\project-rjwm-weixin-uniapp\pages\order\style.scss", "SCSS", 0, 0, 893, 0, 0, 0, 0, 0, 82, 23, 998
"d:\project\project-rjwm-weixin-uniapp\pages\pay\index.vue", "Vue", 0, 0, 0, 0, 136, 0, 0, 0, 4, 9, 149
"d:\project\project-rjwm-weixin-uniapp\pages\remark\index.vue", "Vue", 0, 0, 0, 0, 85, 0, 0, 0, 17, 13, 115
"d:\project\project-rjwm-weixin-uniapp\pages\success\index.vue", "Vue", 0, 0, 0, 0, 143, 0, 0, 0, 8, 4, 155
"d:\project\project-rjwm-weixin-uniapp\project.config.json", "JSON", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 57
"d:\project\project-rjwm-weixin-uniapp\project.private.config.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"d:\project\project-rjwm-weixin-uniapp\store\index.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 0, 2, 6, 81
"d:\project\project-rjwm-weixin-uniapp\styles\common.scss", "SCSS", 0, 0, 373, 0, 0, 0, 0, 0, 18, 4, 395
"d:\project\project-rjwm-weixin-uniapp\uni.scss", "SCSS", 0, 0, 37, 0, 0, 0, 0, 0, 25, 14, 76
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-badge\changelog.md", "Markdown", 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-badge\components\uni-badge\uni-badge.vue", "Vue", 0, 0, 0, 0, 213, 0, 0, 0, 33, 23, 269
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-badge\package.json", "JSON", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 88
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-badge\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-calendar\changelog.md", "Markdown", 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-calendar\components\uni-calendar\calendar.js", "JavaScript", 0, 324, 0, 0, 0, 0, 0, 0, 184, 39, 547
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-calendar\components\uni-calendar\i18n\en.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-calendar\components\uni-calendar\i18n\index.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-calendar\components\uni-calendar\i18n\zh-Hans.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-calendar\components\uni-calendar\i18n\zh-Hant.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-calendar\components\uni-calendar\uni-calendar-item.vue", "Vue", 0, 0, 0, 0, 164, 0, 0, 0, 4, 14, 182
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-calendar\components\uni-calendar\uni-calendar.vue", "Vue", 0, 0, 0, 0, 430, 0, 0, 0, 97, 28, 555
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-calendar\components\uni-calendar\util.js", "JavaScript", 0, 251, 0, 0, 0, 0, 0, 0, 81, 23, 355
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-calendar\package.json", "JSON", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 88
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-calendar\readme.md", "Markdown", 73, 0, 0, 0, 0, 0, 0, 0, 0, 30, 103
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-card\changelog.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-card\components\uni-card\uni-card.vue", "Vue", 0, 0, 0, 0, 214, 0, 0, 0, 37, 20, 271
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-card\package.json", "JSON", 0, 0, 0, 90, 0, 0, 0, 0, 0, 1, 91
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-card\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-collapse\changelog.md", "Markdown", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-collapse\components\uni-collapse-item\uni-collapse-item.vue", "Vue", 0, 0, 0, 0, 305, 0, 0, 0, 71, 27, 403
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-collapse\components\uni-collapse\uni-collapse.vue", "Vue", 0, 0, 0, 0, 127, 0, 0, 0, 18, 3, 148
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-collapse\package.json", "JSON", 0, 0, 0, 89, 0, 0, 0, 0, 0, 1, 90
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-collapse\readme.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-combox\changelog.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-combox\components\uni-combox\uni-combox.vue", "Vue", 0, 0, 0, 0, 225, 0, 0, 0, 35, 16, 276
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-combox\package.json", "JSON", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 90
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-combox\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-countdown\changelog.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-countdown\components\uni-countdown\i18n\en.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-countdown\components\uni-countdown\i18n\index.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-countdown\components\uni-countdown\i18n\zh-Hans.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-countdown\components\uni-countdown\i18n\zh-Hant.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-countdown\components\uni-countdown\uni-countdown.vue", "Vue", 0, 0, 0, 0, 246, 0, 0, 0, 21, 5, 272
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-countdown\package.json", "JSON", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 86
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-countdown\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-data-checkbox\changelog.md", "Markdown", 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-data-checkbox\components\uni-data-checkbox\uni-data-checkbox.vue", "Vue", 0, 0, 0, 0, 661, 0, 0, 0, 102, 55, 818
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-data-checkbox\package.json", "JSON", 0, 0, 0, 87, 0, 0, 0, 0, 0, 1, 88
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-data-checkbox\readme.md", "Markdown", 11, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-data-picker\changelog.md", "Markdown", 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-data-picker\components\uni-data-picker\keypress.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 3, 1, 46
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-data-picker\components\uni-data-picker\uni-data-picker.vue", "Vue", 0, 0, 0, 0, 443, 0, 0, 0, 60, 37, 540
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-data-picker\components\uni-data-pickerview\uni-data-picker.js", "JavaScript", 0, 522, 0, 0, 0, 0, 0, 0, 1, 41, 564
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-data-picker\components\uni-data-pickerview\uni-data-pickerview.vue", "Vue", 0, 0, 0, 0, 262, 0, 0, 0, 42, 30, 334
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-data-picker\package.json", "JSON", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 92
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-data-picker\readme.md", "Markdown", 13, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-dateformat\changelog.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-dateformat\components\uni-dateformat\date-format.js", "JavaScript", 0, 191, 0, 0, 0, 0, 0, 0, 3, 7, 201
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-dateformat\components\uni-dateformat\uni-dateformat.vue", "Vue", 0, 0, 0, 0, 73, 0, 0, 0, 12, 4, 89
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-dateformat\package.json", "JSON", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 88
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-dateformat\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-datetime-picker\changelog.md", "Markdown", 89, 0, 0, 0, 0, 0, 0, 0, 0, 1, 90
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-datetime-picker\components\uni-datetime-picker\calendar-item.vue", "Vue", 0, 0, 0, 0, 156, 0, 0, 0, 9, 21, 186
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-datetime-picker\components\uni-datetime-picker\calendar.vue", "Vue", 0, 0, 0, 0, 724, 0, 0, 0, 129, 46, 899
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-datetime-picker\components\uni-datetime-picker\i18n\en.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-datetime-picker\components\uni-datetime-picker\i18n\index.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-datetime-picker\components\uni-datetime-picker\i18n\zh-Hans.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-datetime-picker\components\uni-datetime-picker\i18n\zh-Hant.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-datetime-picker\components\uni-datetime-picker\keypress.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 3, 0, 45
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-datetime-picker\components\uni-datetime-picker\time-picker.vue", "Vue", 0, 0, 0, 0, 739, 0, 0, 0, 123, 66, 928
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-datetime-picker\components\uni-datetime-picker\uni-datetime-picker.vue", "Vue", 0, 0, 0, 0, 865, 0, 0, 0, 81, 52, 998
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-datetime-picker\components\uni-datetime-picker\util.js", "JavaScript", 0, 298, 0, 0, 0, 0, 0, 0, 86, 27, 411
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-datetime-picker\package.json", "JSON", 0, 0, 0, 90, 0, 0, 0, 0, 0, 1, 91
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-datetime-picker\readme.md", "Markdown", 11, 0, 0, 0, 0, 0, 0, 0, 0, 10, 21
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-drawer\changelog.md", "Markdown", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-drawer\components\uni-drawer\keypress.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 6, 1, 46
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-drawer\components\uni-drawer\uni-drawer.vue", "Vue", 0, 0, 0, 0, 124, 0, 0, 0, 49, 11, 184
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-drawer\package.json", "JSON", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 87
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-drawer\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-easyinput\changelog.md", "Markdown", 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-easyinput\components\uni-easyinput\common.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 12, 2, 57
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-easyinput\components\uni-easyinput\uni-easyinput.vue", "Vue", 0, 0, 0, 0, 364, 0, 0, 0, 75, 23, 462
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-easyinput\package.json", "JSON", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 90
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-easyinput\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-fab\changelog.md", "Markdown", 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-fab\components\uni-fab\uni-fab.vue", "Vue", 0, 0, 0, 0, 345, 0, 0, 0, 94, 37, 476
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-fab\package.json", "JSON", 0, 0, 0, 87, 0, 0, 0, 0, 0, 1, 88
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-fab\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-fav\changelog.md", "Markdown", 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-fav\components\uni-fav\i18n\en.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-fav\components\uni-fav\i18n\index.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-fav\components\uni-fav\i18n\zh-Hans.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-fav\components\uni-fav\i18n\zh-Hant.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-fav\components\uni-fav\uni-fav.vue", "Vue", 0, 0, 0, 0, 123, 0, 0, 0, 24, 10, 157
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-fav\package.json", "JSON", 0, 0, 0, 89, 0, 0, 0, 0, 0, 1, 90
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-fav\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-file-picker\changelog.md", "Markdown", 61, 0, 0, 0, 0, 0, 0, 0, 0, 1, 62
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-file-picker\components\uni-file-picker\choose-and-upload-file.js", "JavaScript", 0, 209, 0, 0, 0, 0, 0, 0, 0, 16, 225
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-file-picker\components\uni-file-picker\uni-file-picker.vue", "Vue", 0, 0, 0, 0, 500, 0, 0, 0, 124, 28, 652
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-file-picker\components\uni-file-picker\upload-file.vue", "Vue", 0, 0, 0, 0, 273, 0, 0, 0, 26, 27, 326
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-file-picker\components\uni-file-picker\upload-image.vue", "Vue", 0, 0, 0, 0, 264, 0, 0, 0, 12, 17, 293
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-file-picker\components\uni-file-picker\utils.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 0, 19, 6, 110
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-file-picker\package.json", "JSON", 0, 0, 0, 86, 0, 0, 0, 0, 0, 1, 87
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-file-picker\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-forms\changelog.md", "Markdown", 60, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-forms\components\uni-forms-item\uni-forms-item.vue", "Vue", 0, 0, 0, 0, 394, 0, 0, 0, 85, 31, 510
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-forms\components\uni-forms\uni-forms.vue", "Vue", 0, 0, 0, 0, 343, 0, 0, 0, 106, 24, 473
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-forms\components\uni-forms\validate.js", "JavaScript", 0, 421, 0, 0, 0, 0, 0, 0, 1, 65, 487
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-forms\package.json", "JSON", 0, 0, 0, 90, 0, 0, 0, 0, 0, 1, 91
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-forms\readme.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 11, 23
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-goods-nav\changelog.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-goods-nav\components\uni-goods-nav\i18n\en.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-goods-nav\components\uni-goods-nav\i18n\index.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-goods-nav\components\uni-goods-nav\i18n\zh-Hans.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-goods-nav\components\uni-goods-nav\i18n\zh-Hant.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-goods-nav\components\uni-goods-nav\uni-goods-nav.vue", "Vue", 0, 0, 0, 0, 176, 0, 0, 0, 31, 18, 225
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-goods-nav\package.json", "JSON", 0, 0, 0, 88, 0, 0, 0, 0, 0, 1, 89
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-goods-nav\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-grid\changelog.md", "Markdown", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-grid\components\uni-grid-item\uni-grid-item.vue", "Vue", 0, 0, 0, 0, 98, 0, 0, 0, 23, 7, 128
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-grid\components\uni-grid\uni-grid.vue", "Vue", 0, 0, 0, 0, 105, 0, 0, 0, 32, 6, 143
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-grid\package.json", "JSON", 0, 0, 0, 86, 0, 0, 0, 0, 0, 1, 87
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-grid\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-group\changelog.md", "Markdown", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-group\components\uni-group\uni-group.vue", "Vue", 0, 0, 0, 0, 105, 0, 0, 0, 17, 9, 131
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-group\package.json", "JSON", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 87
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-group\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-icons\changelog.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-icons\components\uni-icons\icons.js", "JavaScript", 0, 1169, 0, 0, 0, 0, 0, 0, 0, 1, 1170
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-icons\components\uni-icons\uni-icons.vue", "Vue", 0, 0, 0, 0, 77, 0, 0, 0, 14, 6, 97
"d:\project\project-rjwm-weixin-uniapp\uni_modules\uni-icons\components\uni-icons\uniicons.css", "CSS", 0, 0, 0, 0, 0, 0, 498, 0, 0, 166, 664
